y0,y1,y2
-0.909,-0.581,0.566
0.39,0.031,0.643
-0.867,0.297,-0.48
0.015,0.037,0.687
-0.71,-0.641,-0.524
-0.97,0.666,0.602
0.565,0.543,0.143
-0.548,-0.103,0.33
0.169,0.323,0.987
-0.807,-0.89,-0.97
0.357,0.991,-0.074
-0.925,0.816,0.464
-0.39,0.77,0.148
-0.565,0.023,0.11
